orderID,orderTime,userID,couponID,price,basePrice,reward,premiumProduct,productGroup,categoryIDs,couponUsed
3829,17-02-2015 15:49,37aa37a3d4db63cfedbf976daddebf5c,a35974920ba3c9b3a6e50a89910e6b81,9.17,2.04,0.94,1,c06dc2b4a5f7ecdfa27a83acf7a29423,"b7e3b0110f96213f5087034b92be487a,667daa357f8999be0805a6d62d7d3970",1
4805,25-02-2015 20:28,a8336131974a67f838d998609c0e2604,3867cafee56ece2ea5f8db4815cadcb6,11.58,4.82,1.26,0,369e08938fbb263ee8d7700a909231c3,f03040c27bfa597712980825477b32d5,0
1658,28-02-2015 23:30,f929ef735361e29928150e526255e4a4,cb82eed23c715dc002ce4d8070aedaf7,6.308566114,4.385442733,1.942976713,0,766fb91efebff83f298f780e7524b276,b7e3b0110f96213f5087034b92be487a,0
2029,28-01-2015 15:28,0ceee2ae489c5c68a483c0c3cd6d9b54,148c8d0134dc05ce921c489983558b93,3.33,3.33,1.57,0,3e1c802d7407a4d2ff7eec1482f53fb5,e73355e7a58b57d741111e7ab3855265,0
4703,25-02-2015 11:22,2cb1dc0de7a4be59f58d87fdefa91a59,3c788027ffc11385ebda482981af8637,1.943101438,1.157081678,1.935554001,1,113593efe095675415192b4aa1ab8653,796c5815752a170021838a78bf7fab34,0
4996,27-02-2015 00:15,0a10a89e905247545e69afa79f21dc27,c1bc0452225f0760e3115a8d30d7ab0e,7.41,1.85,1.26,0,c06dc2b4a5f7ecdfa27a83acf7a29423,"b7e3b0110f96213f5087034b92be487a,a0ae3bad823bea2ffa642bf47daa4a77",1
2702,04-02-2015 08:47,8da064b217371bec77cd8662e3e94699,bb623910da0cd111d78b795070b3a081,10.98,3.43,1.57,0,645dd2d872e6d5f4db5598ddecc789d2,b7e3b0110f96213f5087034b92be487a,0
2735,11-01-2015 13:09,cae358d7b2d59aafe8e41e70b363a198,3df5048d2a1986c3bfb7b922e3c4d70a,2.405299435,1.144268416,1.597073644,0,920c97ba22e2235de589e5cc9b391709,796c5815752a170021838a78bf7fab34,0
4625,24-02-2015 18:40,ce835f518bf3abe760ac2883191d3373,150245ceb8b67ba3c0f23b208f853693,5.51,2.2,1.26,0,2ef931ec37855444a94b2e752e32d96e,b7e3b0110f96213f5087034b92be487a,0
218,17-01-2015 22:02,f929ef735361e29928150e526255e4a4,173cac356b89eee4fcfa9eeb2a8a8f2c,2.606949996,1.539523136,1.56319681,0,5e24ab46af72b5605beaafbf6e36d551,796c5815752a170021838a78bf7fab34,0
2468,23-02-2015 22:33,8a8c57d805ff02bf82c6ed1b802111c0,051517cce622bec150d9acc0c370d1cf,3.308718707,2.732121145,1.266864134,1,a7ac75fff375132f9b4753d55aada511,"b7e3b0110f96213f5087034b92be487a,a0ae3bad823bea2ffa642bf47daa4a77",0
2448,24-02-2015 16:37,059f13bd76667c3ca90c42df8f88bae4,9bf3d46e81dc780ce4347a8ef93ef95d,2.889175844,2.506422948,1.267571236,0,920c97ba22e2235de589e5cc9b391709,"b7e3b0110f96213f5087034b92be487a,a0ae3bad823bea2ffa642bf47daa4a77,6f735673e0cbf770a14c38aa256011a7",0
461,28-01-2015 13:25,7ab3bb791338a27416f1272cf95fe23b,a3651fafd5911623b2d598873443e174,5.689183867,2.63412898,2.173334265,0,5e24ab46af72b5605beaafbf6e36d551,b7e3b0110f96213f5087034b92be487a,0
2778,04-02-2015 20:55,81e4981a8889a249fb92f40518bc05ad,5753d3959a782e6263522790fd70b99c,11.02,13.77,0,0,a7ac75fff375132f9b4753d55aada511,"b7e3b0110f96213f5087034b92be487a,ac6d9e2b42dff101d8e6e5582d7a45cf,6f735673e0cbf770a14c38aa256011a7",0
4946,26-02-2015 17:51,1fb9d838d627f6bcbb0339be1b431b8f,d88fabfdb72ef3759309e79de53abb3c,4.58,2.29,1.57,0,bfdca7185ad7366f965590bab1417db5,"b7e3b0110f96213f5087034b92be487a,4b3e2dbd4d59c43bf6982405a5f7fce7",0
2812,14-01-2015 14:21,0b21ca0cd43262bbd46e1e0cb90701f8,d6980f59b85453be71092b9ffb6e3a6f,2.17026582,0.164199678,1.90723066,0,dc140663301ed170b7e065adbe4ab044,b7e3b0110f96213f5087034b92be487a,0
1358,19-01-2015 17:16,211d622c34d1974d6d8bf64d2b80f9b2,89d62b666d585f03f262b1f6a6abdd2c,13.21493656,5.027504029,1.600550051,0,e07e0204e8a62673afc9ad29b4f79f4a,"b7e3b0110f96213f5087034b92be487a,a0ae3bad823bea2ffa642bf47daa4a77,4b3e2dbd4d59c43bf6982405a5f7fce7",0
1030,07-01-2015 19:30,133eff51fb4c1c306609fdcc07946143,d69e67c5d98c97475356741e305ec0d2,12.22305576,3.922012942,0.965493,0,a240b3940110f9bd715b1a7a623f06ee,f929d7624d13f00e1ca52c9edb5c03ba,1
2549,02-02-2015 15:07,aa27537d9001a7577680270f1de82f8a,a10bb278883972b3e977d30f4c5d526c,7.92,2.64,1.26,1,c06dc2b4a5f7ecdfa27a83acf7a29423,"b7e3b0110f96213f5087034b92be487a,667daa357f8999be0805a6d62d7d3970",0
5623,04-03-2015 17:53,ebc0ff47cb4af27c01c7a790a3010aa5,9adac6a8fd6e66904bbd0f55fb30a1b1,4.17,2.6,1.57,0,766fb91efebff83f298f780e7524b276,"b7e3b0110f96213f5087034b92be487a,a0ae3bad823bea2ffa642bf47daa4a77",0
2201,29-01-2015 18:33,7bab99123a5af393112bb6676b03f2be,b7896816d25fe1e431781231993be55a,3.66,2.03,0.94,1,77a290ef19cb678ca64332e7148dc6f5,"b78123c345b9f8a300a7fac7a735a8bd,667daa357f8999be0805a6d62d7d3970",0
963,14-01-2015 14:48,65a0d0952882311ff62bbf63d23ead34,5c727a1fd7badfd0a69c73923c9f7343,8.24,3.92,1.57,0,bfdca7185ad7366f965590bab1417db5,b7e3b0110f96213f5087034b92be487a,0
